title,category
Watchmen,One Word
It,One Word
The Last Olympian,The Adj Noun
The Divine Comedy,The Adj Noun
Peter Pan,None
"The Hobbit, or There and Back Again",___ and ___
Shadow Kiss,None
Insurgent,One Word
How the Grinch Stole Christmas!,None
The Ultimate Hitchhiker's Guide to the Galaxy,None
The Wonderful Wizard of Oz,___ of ___
Frostbite,One Word
The Lorax,"""The"" One Word"
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",___ of ___
Blood Promise,None
The Battle of the Labyrinth,___ of ___
A Midsummer Night's Dream,None
Clockwork Princess,None
The Mists of Avalon,___ of ___
The Titan's Curse,The Adj Noun
The Sea of Monsters,___ of ___
Alice in Wonderland,None
Jonathan Livingston Seagull,None
The Phantom Tollbooth,The Adj Noun
Bridge to Terabithia,None
The Hunger Games Trilogy Boxset,None
"Oh, the Places You'll Go!",None
The Maze Runner,The Adj Noun
The Neverending Story,The Adj Noun
Treasure Island,None
The Clan of the Cave Bear,___ of ___
A Storm of Swords,___ of ___
Wicked: The Life and Times of the Wicked Witch of the West,___ of ___
His Dark Materials,None
Jurassic Park,None
Last Sacrifice,None
The Night Circus,The Adj Noun
Fallen,One Word
The Silmarillion,"""The"" One Word"
The Selection,"""The"" One Word"
The Velveteen Rabbit,The Adj Noun
Catching Fire,None
The Lost Hero,The Adj Noun
Throne of Glass,___ of ___
Spirit Bound,None
Clockwork Prince,None
The Iliad/The Odyssey,The Adj Noun
Cat's Cradle,None
The Wind in the Willows,None
The Screwtape Letters,The Adj Noun
Shiver,One Word
Uglies,One Word
City of Fallen Angels,___ of ___
The Phantom of the Opera,___ of ___
Ella Enchanted,None
The Wind-Up Bird Chronicle,None
Cinder,One Word
The Green Mile,The Adj Noun
A Clash of Kings,___ of ___
Marked,One Word
The House of the Spirits,___ of ___
Howl's Moving Castle,None
Stranger in a Strange Land,None
Midnight Sun [2008 Draft],None
Delirium,One Word
The Vampire Lestat,The Adj Noun
The Once and Future King,___ and ___
Neverwhere,One Word
Inkheart,One Word
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",None
The Historian,"""The"" One Word"
James and the Giant Peach,___ and ___
Paradise Lost,None
Graceling,One Word
The Thirteenth Tale,The Adj Noun
Foundation,One Word
The Time Machine,The Adj Noun
Different Seasons,None
Kafka on the Shore,None
City of Lost Souls,___ of ___
Sophie's World,None
The Wise Man's Fear,None
The Son of Neptune,___ of ___
Dead Until Dark,None
Ready Player One,None
The Monster at the End of this Book,___ of ___
A Court of Mist and Fury,___ of ___
Mockingjay,One Word
The Magician's Nephew,The Adj Noun
Stardust,One Word
The Gunslinger,"""The"" One Word"
Do Androids Dream of Electric Sheep?,___ of ___
Allegiant,One Word
The Lord of the Rings,___ of ___
The Mark of Athena,___ of ___
The Way of Kings,___ of ___
Legend,One Word
Gulliver's Travels,None
V for Vendetta,None
The Witches,"""The"" One Word"
The Graveyard Book,The Adj Noun
Beowulf,One Word
Tuck Everlasting,None
The Final Empire,The Adj Noun
Beautiful Creatures,None
Eldest,One Word
Dark Lover,None
The Eye of the World,___ of ___
The Tell-Tale Heart and Other Writings,___ and ___
Brisingr,One Word
Midnight's Children,None
Obsidian,One Word
Salem's Lot,None
The Martian Chronicles,The Adj Noun
Crescendo,One Word
Cloud Atlas,None
The Martian,"""The"" One Word"
Shatter Me,None
The Amber Spyglass,The Adj Noun
Inferno,One Word
Like Water for Chocolate,None
Dragonfly in Amber,None
The BFG,"""The"" One Word"
Six of Crows,___ of ___
Harry Potter Series Box Set,None
Daughter of Smoke & Bone,___ of ___
The Strange Case of Dr. Jekyll and Mr. Hyde,___ of ___
City of Heavenly Fire,___ of ___
Evermore,One Word
The Subtle Knife,The Adj Noun
11/22/63,One Word
"Faust, First Part",None
A Feast for Crows,None
The Angel Experiment,The Adj Noun
Miss Peregrine's Home for Peculiar Children,None
Matched,One Word
Jonathan Strange & Mr Norrell,___ and ___
Houdini Heart,None
Artemis Fowl,None
Pippi Longstocking,None
The Tales of Beedle the Bard,___ of ___
The House of Hades,___ of ___
The Host,"""The"" One Word"
Neuromancer,One Word
Betrayed,One Word
The Voyage of the Dawn Treader,___ of ___
Lover Awakened,None
A Court of Thorns and Roses,___ of ___
Untamed,One Word
A Dance with Dragons,None
Crown of Midnight,___ of ___
"I, Robot",None
The Twilight Collection,The Adj Noun
The One,"""The"" One Word"
Carrie,One Word
Voyager,One Word
Heir of Fire,___ of ___
Chosen,One Word
The Last Battle,The Adj Noun
The Exorcist,"""The"" One Word"
Coraline,One Word
The 5th Wave,The Adj Noun
The Iron King,The Adj Noun
The Arabian Nights,The Adj Noun
Torment,One Word
Bloodlines,One Word
Wizard's First Rule,None
Pet Sematary,None
Snow Crash,None
World War Z: An Oral History of the Zombie War,___ of ___
A Great and Terrible Beauty,___ and ___
The Witching Hour,The Adj Noun
The War of the Worlds,___ of ___
The Summoning,"""The"" One Word"
Chocolat,One Word
Halfway to the Grave,None
Red Queen,None
City of Glass,___ of ___
The Mortal Instruments Boxed Set: City of Bones; City of Ashes; City of Glass,___ of ___
2001: A Space Odyssey,None
A Discovery of Witches,___ of ___
Unwind,One Word
The Polar Express,The Adj Noun
Acheron,One Word
The Elite,"""The"" One Word"
Silence,One Word
Ishmael,One Word
The Unbecoming of Mara Dyer,___ of ___
The Return of the King,___ of ___
I Am Number Four,None
Angelfall,One Word
Dead to the World,None
You Are Special,None
Sabriel,One Word
The Goose Girl,The Adj Noun
Ignite Me,None
The Darkest Minds,The Adj Noun
Drums of Autumn,___ of ___
Wicked Lovely,None
Queen of Shadows,___ of ___
Hunted,One Word
World Without End,None
A Christmas Carol,None
The Last Unicorn,The Adj Noun
Hyperion,One Word
The Raven Boys,The Adj Noun
The Bad Beginning,The Adj Noun
Speaker for the Dead,None
The Red Pyramid,The Adj Noun
A Dog's Purpose,None
The Silver Chair,The Adj Noun
A Monster Calls,None
Poison Study,None
The Two Towers,The Adj Noun
The Queen of the Damned,___ of ___
Left Behind,None
The Eyre Affair,The Adj Noun
Inheritance,One Word
Before I Fall,None
The Talisman,"""The"" One Word"
Prince Caspian,None
The Knife of Never Letting Go,___ of ___
Shadowfever,One Word
Gone,One Word
The Scorch Trials,The Adj Noun
Darkfever,One Word
Pretties,One Word
Words of Radiance,___ of ___
I Am Legend and Other Stories,___ and ___
Scarlet,One Word
Alanna: The First Adventure,None
Watchers,One Word
A Wizard of Earthsea,___ of ___
The Song of Achilles,___ of ___
Lover Unbound,None
Champion,One Word
The Left Hand of Darkness,___ of ___
Assassin's Apprentice,None
1Q84,One Word
The Night Before Christmas,None
The Magus,"""The"" One Word"
Oryx and Crake,___ and ___
Tempted,One Word
Cress,One Word
A Breath of Snow and Ashes,___ of ___
Night Watch,None
Brainwalker,One Word
The Lies of Locke Lamora,___ of ___
Jitterbug Perfume,None
The Fiery Cross,The Adj Noun
The Sirens of Titan,___ of ___
Grimm's Fairy Tales,None
Crooked Kingdom,None
Prodigy,One Word
City of Ashes,___ of ___
Glass Houses,None
Twenty Thousand Leagues Under the Sea,None
Lover Revealed,None
Odd Thomas,None
Club Dead,None
Carry On,None
Princess Academy,None
Ender's Shadow,None
The Aeneid,"""The"" One Word"
Unravel Me,None
Lover Avenged,None
Under the Dome,None
Living Dead in Dallas,None
A Canticle for Leibowitz,None
The Jungle Books,The Adj Noun
Collected Fictions,None
Something Wicked This Way Comes,None
Linger,One Word
Geek Love,None
Cryptonomicon,One Word
Hard-Boiled Wonderland and the End of the World,___ of ___
Red Rising,None
Empire of Storms,___ of ___
The Death Cure,The Adj Noun
Ficciones,One Word
Fire,One Word
The Color of Magic,___ of ___
The Hero of Ages,___ of ___
The Moon Is a Harsh Mistress,None
Battle Royale,None
Dandelion Wine,None
Mary Poppins,None
Finale,One Word
The Awakening,"""The"" One Word"
The Invention of Hugo Cabret,___ of ___
The Ocean at the End of the Lane,___ of ___
Small Gods,None
The Passage,"""The"" One Word"
The Reckoning,"""The"" One Word"
Starship Troopers,None
The Restaurant at the End of the Universe,___ of ___
The Gargoyle,"""The"" One Word"
The Sparrow,"""The"" One Word"
Dreamfever,One Word
Around the World in Eighty Days,None
Daughter of the Forest,___ of ___
Illusions: The Adventures of a Reluctant Messiah,___ of ___
Specials,One Word
Mort,One Word
The Golden Lily,The Adj Noun
One Foot in the Grave,None
The Dark Tower,The Adj Noun
The Blood of Olympus,___ of ___
Lover Mine,None
Burned,One Word
Guilty Pleasures,None
The City of Ember,___ of ___
Dead as a Doornail,None
The Amulet of Samarkand,___ of ___
House of Leaves,___ of ___
Shadow and Bone,___ and ___
Orlando,One Word
A Connecticut Yankee in King Arthur's Court,None
Pandemonium,One Word
Beauty: A Retelling of the Story of Beauty and the Beast,___ of ___
"Night World, No. 1",None
The Long Walk,The Adj Noun
Fablehaven,One Word
We,One Word
The Awakening / The Struggle,None
Faefever,One Word
Onyx,One Word
Fantasy Lover,None
Passion,One Word
A Court of Wings and Ruin,___ of ___
Bitten,One Word
From Dead to Worse,None
Wizard and Glass,___ and ___
Wings,One Word
All Together Dead,None
The Rime of the Ancient Mariner,___ of ___
The Drawing of the Three,___ of ___
Dead and Gone,___ and ___
Every Day,None
Childhood's End,None
Tiger's Curse,None
Redwall,One Word
The Iliad,"""The"" One Word"
Into the Wild,None
The Ruins of Gorlan,___ of ___
Hex Hall,None
Unearthly,One Word
The Well of Ascension,___ of ___
Dead Witch Walking,None
Beastly,One Word
At Grave's End,None
The Man in the High Castle,None
The Indigo Spell,The Adj Noun
Blue Bloods,None
The Assassin's Blade,The Adj Noun
An Ember in the Ashes,None
Anansi Boys,None
The Tempest,"""The"" One Word"
The Dispossessed,"""The"" One Word"
Lover Enshrined,None
The Pilgrim's Progress,The Adj Noun
The Great Divorce,The Adj Noun
The Iron Queen,The Adj Noun
Across the Universe,None
Hogfather,One Word
Let the Right One In,None
Nightshade,One Word
Storm Front,None
The Short Second Life of Bree Tanner,___ of ___
Evernight,One Word
Magician,One Word
Dirk Gently's Holistic Detective Agency,None
Animal Farm / 1984,None
The Past,"""The"" One Word"
Cry Wolf,None
Swan Song,None
Memnoch the Devil,None
The Iron Daughter,The Adj Noun
The Stinky Cheese Man and Other Fairly Stupid Tales,___ and ___
The Mysterious Benedict Society,None
The Valley of Horses,___ of ___
School's Out—Forever,None
Saving the World and Other Extreme Sports,___ and ___
Percy Jackson and the Olympians,___ and ___
Tales of H.P. Lovecraft,___ of ___
Invisible Cities,None
A Darker Shade of Magic,___ of ___
Timeline,One Word
This Present Darkness,None
"Go, Dog. Go!",None
Practical Magic,None
Blue Moon,None
"Life, the Universe and Everything",___ and ___
For One More Day,None
Till We Have Faces,None
Bloodfever,One Word
Awakened,One Word
A Scanner Darkly,None
The Way of Shadows,___ of ___
Half-Blood,One Word
Winter,One Word
A Dirty Job,None
Origin,One Word
Switched,One Word
Kushiel's Dart,None
Journey to the Center of the Earth,___ of ___
Inkspell,One Word
Lady Midnight,None
Forever,One Word
Starcrossed,One Word
Brave New World / Brave New World Revisited,None
Destined for an Early Grave,None
The Tale of Despereaux,___ of ___
Hearts in Atlantis,None
The Time Quartet Box Set,None
The Day of the Triffids,___ of ___
The Dragon Reborn,The Adj Noun
The Raven and Other Poems,___ and ___
The Evolution of Mara Dyer,___ of ___
The Blade Itself,The Adj Noun
Needful Things,None
The Throne of Fire,___ of ___
Batman: The Dark Knight Returns,None
Going Postal,None
Under the Never Sky,None
The Dead Zone,The Adj Noun
The Glass Bead Game,None
"Night World, No. 2",None
The Celestine Prophecy,The Adj Noun
The Gormenghast Novels,The Adj Noun
Inkdeath,One Word
The Alchemyst,"""The"" One Word"
Halo,One Word
Sweet Evil,None
Eclipse,One Word
Breaking Dawn,None
The Angel's Game,The Adj Noun
Garden Spells,None
The Immortal Rules,The Adj Noun
Magic Bites,None
The Octunnumi Fosbit Files Prologue,None
Max,One Word
Beautiful Darkness,None
The Satanic Verses,The Adj Noun
Metamorphoses,One Word
Just So Stories,None
Guards! Guards!,None
The Present,"""The"" One Word"
Born at Midnight,None
Elantris,One Word
Extras,One Word
Perdido Street Station,None
The Blue Sword,The Adj Noun
"The Diamond Age: Or, A Young Lady's Illustrated Primer",None
The Complete Fairy Tales,None
Rapture,One Word
Iron Kissed,None
Illuminae,One Word
An Echo in the Bone,None
Tiger's Voyage,None
Ink Exchange,None
Fantastic Beasts and Where to Find Them,___ and ___
The House of the Scorpion,___ of ___
The Waste Lands,The Adj Noun
The Thief Lord,The Adj Noun
The Serpent's Shadow,The Adj Noun
If You Give a Mouse a Cookie,None
The Fury / Dark Reunion,None
New Moon,None
Among the Hidden,None
The Dream Thieves,The Adj Noun
Solaris,One Word
River God,None
Pawn of Prophecy,___ of ___
The Great Hunt,The Adj Noun
Imajica,One Word
The Warded Man,The Adj Noun
The Dead Girls' Dance,None
Days of Blood & Starlight,___ of ___
Old Man's War,None
Lullaby,One Word
Vicious,One Word
Need,One Word
The Crystal Cave,The Adj Noun
The Scorpio Races,The Adj Noun
The Cruel Prince,The Adj Noun
The Forever War,The Adj Noun
Life As We Knew It,None
Aesop's Fables,None
The Children of Húrin,___ of ___
Hollow City,None
Kissed by an Angel/The Power of Love/Soulmates,___ of ___
The Sword of Shannara,___ of ___
The Shadow Rising,The Adj Noun
A Storm of Swords: Blood and Gold,___ of ___
The Iron Knight,The Adj Noun
Vampire Academy Collection,None
The Miraculous Journey of Edward Tulane,___ of ___
Reaper Man,None
Rendezvous with Rama,None
The Illustrated Man,The Adj Noun
The Third Policeman,The Adj Noun
Skulduggery Pleasant,None
"Eragon, Eldest & Brisingr",___ and ___
Cloudy With a Chance of Meatballs,___ of ___
Crossed,One Word
Preludes & Nocturnes,___ and ___
After Dark,None
The False Prince,The Adj Noun
The Invisible Man,The Adj Noun
The Ask and the Answer,___ and ___
Noughts & Crosses,___ and ___
The Book of Lost Things,___ of ___
Grendel,One Word
Adhaata Asao's Liege,None
Shadow of Night,___ of ___
Quidditch Through the Ages,None
Boy's Life,None
Blood Bound,None
The Last Wish,The Adj Noun
Magic Bleeds,None
Harry Potter and the Cursed Child: Parts One and Two,___ and ___
Monsters of Men,___ of ___
Masquerade,One Word
The High Lord,The Adj Noun
Die for Me,None
Four: A Divergent Story Collection,None
Bone Crossed,None
The Heir,"""The"" One Word"
Royal Assassin,None
The Eyes of the Dragon,___ of ___
The Gathering Storm,The Adj Noun
Archibald Finch and the Lost Witches (Archibald Finch #1),___ and ___
The Final Warning,The Adj Noun
Mrs. Frisby and the Rats of NIMH,___ of ___
The Great Book of Amber,___ of ___
Fang,One Word
Lover Unleashed,None
Keeper of the Lost Cities,___ of ___
Glass Sword,None
Weaveworld,One Word
The Magicians' Guild,The Adj Noun
Angels' Blood,None
The Epic of Gilgamesh,___ of ___
Warm Bodies,None
Yertle the Turtle and Other Stories,___ and ___
The Wee Free Men,None
The Fiery Heart,The Adj Noun
Succubus Blues,None
Pedro Páramo,None
Doomsday Book,None
The Kill Order,The Adj Noun
Lord of Misrule,___ of ___
Nobody Loves a Bigfoot Like a Bigfoot Babe,None
Midnight Alley,None
Switch! The Lost Kingdoms of Karibu,___ of ___
Torn,One Word
Kingdom of Ash,___ of ___
The Wishing Spell,The Adj Noun
Paranormalcy,One Word
"Night World, No. 3",None
The Demon King,The Adj Noun
The Eight,"""The"" One Word"
Caraval,One Word
Firelight,One Word
Tigana,One Word
Stargazer,One Word
Where the Sidewalk Ends,None
I Am Legend,None
The Illuminatus! Trilogy,The Adj Noun
Circe,One Word
Magic Strikes,None
The Darkest Night,The Adj Noun
The Threat Below,The Adj Noun
Dragonflight,One Word
Feast of Fools,___ of ___
Demonglass,One Word
The Power of Six,___ of ___
Dead in the Family,None
Soulless,One Word
The Demigod Files,The Adj Noun
Requiem,One Word
Lirael,One Word
Carpe Corpus,None
Gathering Blue,None
Island,One Word
Kindred,One Word
Wither,One Word
Ascend,One Word
"The Black Jewels Trilogy: Daughter of the Blood, Heir to the Shadows, Queen of the Darkness",___ of ___
Never Fade,None
The Runaway Bunny,The Adj Noun
World After,None
Abhorsen,One Word
Silver Borne,None
Station Eleven,None
Rebel Angels,None
The Forest of Hands and Teeth,___ of ___
The Year of the Flood,___ of ___
Kiss of Midnight,___ of ___
Ringworld,One Word
Uprooted,One Word
The Cat in the Hat Comes Back,None
The King of Attolia,___ of ___
The Young Elites,The Adj Noun
Book of a Thousand Days,___ of ___
Shadowland,One Word
The Magicians,"""The"" One Word"
"Death Note, Vol. 1: Boredom",None
Flatland: A Romance of Many Dimensions,___ of ___
The Girl Who Loved Tom Gordon,None
Ptolemy's Gate,None
Some Girls Bite,None
Wool Omnibus,None
Messenger,One Word
After Forever Ends,None
Fragile Eternity,None
Lisey's Story,None
Dark Flame,None
The Diviners,"""The"" One Word"
Haroun and the Sea of Stories,___ of ___
Nightfall,One Word
Thud!,One Word
The Light Fantastic,The Adj Noun
Opposition,One Word
A Storm of Swords: Steel and Snow,___ of ___
The Golem's Eye,The Adj Noun
The End of Eternity,___ of ___
The Vampire Armand,The Adj Noun
Pure,One Word
Ghost Story,None
Dance with the Devil,None
Galápagos,One Word
The Kiss of Deception,___ of ___
The Sword of Summer,___ of ___
The Harry Potter Collection 1-4,None
Blood Red Road,None
Deity,One Word
Splintered,One Word
Leviathan,One Word
A Wind in the Door,None
Dark Matter,None
The Winner's Curse,The Adj Noun
Xenocide,One Word
The Earthsea Trilogy,The Adj Noun
Annabel Horton: Lost Witch of Salem,___ of ___
The Wrath and the Dawn,___ and ___
Existence,One Word
Faith of the Fallen,___ of ___
The Reptile Room,The Adj Noun
Finnikin of the Rock,___ of ___
Twilight,One Word
Eon: Dragoneye Reborn,None
Heart of a Dog,___ of ___
The Rise of Nine,___ of ___
Doctor Sleep,None
The Testing,"""The"" One Word"
The City of Dreaming Books,___ of ___
The Fall of the House of Usher and Other Tales,___ of ___
More Than This,None
To Say Nothing of the Dog,___ of ___
The Forbidden Game,The Adj Noun
The Thief,"""The"" One Word"
Warbreaker,One Word
Nevermore,One Word
Rise of the Evening Star,___ of ___
Night Watch,None
The Fall of Hyperion,___ of ___
Ship of Magic,___ of ___
Slave to Sensation,None
The Sight,"""The"" One Word"
Beautiful Chaos,None
The Sweet Far Thing,None
The Long Dark Tea-Time of the Soul,___ of ___
Oathbringer,One Word
Lord of Chaos,___ of ___
A Song of Ice and Fire,___ of ___
Stone of Tears,___ of ___
Gates of Fire,___ of ___
The Dragonbone Chair,The Adj Noun
Son of the Shadows,___ of ___
The Orb of Truth,___ of ___
Bag of Bones,___ of ___
Wild Magic,None
"So Long, and Thanks for All the Fish",___ and ___
Grave Mercy,None
The Raven King,The Adj Noun
Beyond the Shadows,None
Avalon High,None
The Sword in the Stone,None
The Brothers Lionheart,The Adj Noun
Bloodlines,One Word
Equal Rites,None
Shadow's Edge,None
Sphere,One Word
Significance,One Word
The Twits,"""The"" One Word"
Enna Burning,None
Free Four: Tobias Tells the Divergent Knife-Throwing Scene,None
A Hunger Like No Other,None
Baby,One Word
Shadowland,One Word
"Fruits Basket, Vol. 1",None
Fade Out,None
The House at Pooh Corner,None
Night Play,None
The Novice,"""The"" One Word"
Magic Burns,None
Percy Jackson's Greek Gods,None
"Alas, Babylon",None
Soul Music,None
The Mummy,"""The"" One Word"
Sunshine,One Word
Dream Caster,None
The Naming,"""The"" One Word"
Bitterblue,One Word
Spells,One Word
Horton Hears a Who!,None
First Drop of Crimson,___ of ___
Seraphina,One Word
Monstrous Regiment,None
The Wicked King,The Adj Noun
The Andromeda Strain,The Adj Noun
The Sneetches and Other Stories,___ and ___
At Swim-Two-Birds,None
Incarceron,One Word
Quicksilver,One Word
Circus of the Damned,___ of ___
Wyrd Sisters,None
Batman: The Killing Joke,None
Prey,One Word
Magic Study,None
A Knight in Shining Armor,None
The Mammoth Hunters,The Adj Noun
Dark Visions,None
The Call of Cthulhu and Other Weird Stories,___ of ___
A Living Nightmare,None
Mateguas Island: A Novel of Horror and Suspense,___ of ___
Alice's Adventures in Wonderland,None
The Body Finder,The Adj Noun
Blood & Spirits,___ and ___
The Book of Three,___ of ___
Blue Moon,None
Strange the Dreamer,None
NOS4A2,One Word
The Eternity Code,The Adj Noun
Wake,One Word
What Dreams May Come,None
Second Foundation,None
Alice in Zombieland,None
First Grave on the Right,None
Trickster's Choice,None
Tiger's Quest,None
Shadow Souls,None
This Side of the Grave,___ of ___
Anna Dressed in Blood,None
The Fifth Elephant,The Adj Noun
A Million Suns,None
The Hobbit: Graphic Novel,None
Anathem,One Word
A Conjuring of Light,___ of ___
The Van Alen Legacy,None
Witches Abroad,None
The Solitaire Mystery,The Adj Noun
The Lost World,The Adj Noun
Dance Dance Dance,None
Spell Bound,None
Lightning,One Word
Angel,One Word
The Discovery of Heaven,___ of ___
Resonance,One Word
A Wild Sheep Chase,None
Stuart Little,None
"Blue Lily, Lily Blue",None
The Burning Bridge,The Adj Noun
Angelfire,One Word
Fire Study,None
Across the Nightingale Floor,None
Heartless,One Word
Lover at Last,None
Time and Again,___ and ___
The Mysterious Island,The Adj Noun
Towers of Midnight,___ of ___
Revelations,One Word
Circle of Five,___ of ___
The Gentleman's Guide to Vice and Virtue,___ and ___
The Fifth Season,The Adj Noun
Every Which Way But Dead,None
The Game of Kings,___ of ___
The Stars My Destination,None
Horns,One Word
A Memory of Light,___ of ___
Obsidian Butterfly,None
The Tale of the Body Thief,___ of ___
Lies,One Word
Replay,One Word
Starters,One Word
The Bone Season,The Adj Noun
Duma Key,None
The Shelters of Stone,___ of ___
Prince of Wolves,___ of ___
Strange Angels,None
Dreams of Gods and Monsters,___ of ___
Wolves of the Calla,___ of ___
Trickster's Queen,None
The Player of Games,___ of ___
Written in My Own Heart's Blood,None
The Fires of Heaven,___ of ___
Lucifer's Hammer,None
Legend,One Word
Nation,One Word
Perelandra,One Word
The Indian in the Cupboard,None
Night Pleasures,None
"The Good, the Bad, and the Undead",___ and ___
Roadside Picnic,None
Secrets of the Dragon Sanctuary,___ of ___
A Gathering of Shadows,___ of ___
The Dark Elf Trilogy Collector's Edition,None
Dragons of Autumn Twilight,___ of ___
Wildwood Dancing,None
The Mysterious Benedict Society and the Perilous Journey,___ and ___
Memories of Ice,___ of ___
Grip of the Shadow Plague,___ of ___
Life After Life,None
The Black Prism,The Adj Noun
Blackwood Farm,None
Magyk,One Word
Tithe,One Word
The Immortals of Meluha,___ of ___
Siege and Storm,___ and ___
When You Reach Me,None
Rosemary's Baby,None
Fairest,One Word
The 13½ Lives of Captain Bluebear,___ of ___
Captive Prince: Volume Two,None
Peter and the Starcatchers,___ and ___
The Battle for Skandia,None
Silver Shadows,None
Blood Song,None
The Ersatz Elevator,The Adj Noun
The Passion,"""The"" One Word"
Fear,One Word
The End,"""The"" One Word"
John Dies at the End,None
Sentinel,One Word
The Name of This Book Is Secret,___ of ___
The Plains of Passage,___ of ___
The Hidden Oracle,The Adj Noun
Written in Red,None
Harold and the Purple Crayon,___ and ___
Dorothy Must Die,None
Feet of Clay,___ of ___
Tower of Dawn,___ of ___
The Lions of Al-Rassan,___ of ___
The Bachman Books,The Adj Noun
"Fullmetal Alchemist, Vol. 1",None
The Curse of Chalion,___ of ___
Steelheart,One Word
Angel,One Word
The Baron in the Trees,None
Golden Son,None
Falling Kingdoms,None
Ship of Destiny,___ of ___
Thief of Time,___ of ___
Children of Blood and Bone,___ of ___
Furies of Calderon,___ of ___
Dune Messiah,None
Elsewhere,One Word
The Hero and the Crown,___ and ___
The Goddess Test,The Adj Noun
The Lost Colony,The Adj Noun
Mostly Harmless,None
Everblaze,One Word
Exile,One Word
The Time Keeper,The Adj Noun
The Alloy of Law,___ of ___
"Ronia, the Robber's Daughter",None
Gregor the Overlander,None
Lover Reborn,None
Archangel's Kiss,None
Torment,One Word
Revelations,One Word
The Dark Is Rising Sequence,None
Through the Ever Night,None
Nevernight,One Word
Feed,One Word
The Trumpet of the Swan 50th Anniversary,___ of ___
The Bear and the Nightingale,___ and ___
Hunger,One Word
Embrace,One Word
Found,One Word
First Test,None
Undead and Unwed,___ and ___
Parable of the Sower,___ of ___
UnWholly,One Word
The Winter King,The Adj Noun
"Thirst No. 1: The Last Vampire, Black Blood, and Red Dice",___ and ___
Green Rider,None
Temple of the Winds,___ of ___
Captive Prince,None
They Both Die at the End,None
Blood and Chocolate,___ and ___
The Bane Chronicles,The Adj Noun
Eighth Grade Bites,None
Heart-Shaped Box,None
One Grave at a Time,None
King's Cage,None
My Soul to Take,None
The Strange and Beautiful Sorrows of Ava Lavender,___ of ___
Apollyon,One Word
The Arctic Incident,The Adj Noun
Danny the Champion of the World,___ of ___
Vampire Origins - Project Ichorous,None
Dead Beat,None
Library of Souls,___ of ___
Plague,One Word
The Sorcerer of the North,___ of ___
Midnight,One Word
Lost Horizon,None
Destroy Me,None
The Bone People,The Adj Noun
Virals,One Word
The Austere Academy,The Adj Noun
Prince of Thorns,___ of ___
Titus Groan,None
The Raw Shark Texts,None
River Secrets,None
Pleasure Unbound,None
Neverseen,One Word
The Man Who Was Thursday: A Nightmare,None
Infinity,One Word
The Winter Sea,The Adj Noun
The Slippery Slope,The Adj Noun
The Icebound Land,The Adj Noun
Kings Rising,None
The Killing Dance,The Adj Noun
Storm Born,None
Firestarter,One Word
Enclave,One Word
Everlost,One Word
The Infinite Sea,The Adj Noun
Fruzzle's Mystery Talent: A Bed Time Fantasy Story for Children ages 3-10,None
The Truth,"""The"" One Word"
"Saga, Vol. 1",None
The Maze of Bones,___ of ___
The Book of Occult,___ of ___
The Wide Window,The Adj Noun
Mr. Penumbra's 24-Hour Bookstore,None
We Are the Ants,None
Hourglass,One Word
