title,series,author,rating,pages,publishDate,numRatings,category
The Name of the Wind,The Kingkiller Chronicle #1,Patrick Rothfuss (Goodreads Author),4.53,662,2007-04-28,715936,Blank of Blank
Harry Potter and the Cursed Child: Parts One and Two,Harry Potter #8,"John Tiffany (Adaptation), Jack Thorne, J.K. Rowling",3.62,343,2016-07-31,701541,Blank and Blank
The Titan's Curse,Percy Jackson and the Olympians #3,Rick Riordan (Goodreads Author),4.35,320,2007-05-05,686287,The Adjective Noun
The Night Circus,N/A,Erin Morgenstern (Goodreads Author),4.03,391,2011-09-13,684622,The Adjective Noun
Cinder,The Lunar Chronicles #1,Marissa Meyer (Goodreads Author),4.14,400,2012-10-28,682555,One Word
The Return of the King,The Lord of the Rings #3,J.R.R. Tolkien,4.53,385,1974-07-12,678718,Blank of Blank
The Last Olympian,Percy Jackson and the Olympians #5,Rick Riordan (Goodreads Author),4.51,381,2009-05-05,668059,The Adjective Noun
Clockwork Angel,The Infernal Devices #1,"Cassandra Clare (Goodreads Author), Rita Sussekind (Translator)",4.32,481,2010-08-31,666121,None
A Storm of Swords,A Song of Ice and Fire #3,George R.R. Martin,4.53,1177,2003-03-04,666114,Blank of Blank
Charlie and the Chocolate Factory,Charlie Bucket #1,"Roald Dahl, Quentin Blake (Illustrations)",4.14,176,2005-06-02,664710,Blank and Blank
Matched,Matched #1,Ally Condie (Goodreads Author),3.66,369,2010-11-30,653393,One Word
The Pillars of the Earth,Kingsbridge #1,Ken Follett (Goodreads Author),4.31,976,2002-02-04,648793,Blank of Blank
Matilda,N/A,"Roald Dahl, Quentin Blake (Illustrator)",4.32,240,1998-06-01,647667,One Word
The Metamorphosis,N/A,"Franz Kafka, Stanley Corngold (Translator), Mircea Ivănescu (Translator)",3.82,201,1972-03-01,643254,The One Word
The Lost Hero,The Heroes of Olympus #1,Rick Riordan (Goodreads Author),4.33,553,2010-10-12,624124,The Adjective Noun
A Feast for Crows,A Song of Ice and Fire #4,George R.R. Martin,4.14,1061,2011-10-28,620916,None
Green Eggs and Ham,N/A,Dr. Seuss,4.30,62,1988-10-28,616631,Blank and Blank
The Stand,N/A,"Stephen King (Goodreads Author), Bernie Wrightson (Illustrator)",4.34,1153,1990-05-01,616021,The One Word
A Clockwork Orange,N/A,Anthony Burgess,3.99,240,2019-05-21,601048,None
A Christmas Carol,The Christmas Books #1,"Charles Dickens, Joe L. Wheeler (Contributor)",4.06,104,1999-09-23,599679,None
Throne of Glass,Throne of Glass #1,Sarah J. Maas (Goodreads Author),4.20,406,2012-08-07,596208,Blank of Blank
Deception Point,N/A,Dan Brown (Goodreads Author),3.72,556,2022-12-02,591490,None
The Five People You Meet in Heaven,The Five People You Meet in Heaven #1,Mitch Albom (Goodreads Author),3.94,196,2003-09-23,578095,None
Wicked: The Life and Times of the Wicked Witch of the West,The Wicked Years #1,"Gregory Maguire, Douglas Smith (Illustrator)",3.54,406,2000-10-28,573497,Blank of Blank
"Hush, Hush","Hush, Hush #1",Becca Fitzpatrick (Goodreads Author),3.97,391,2009-10-13,573419,None
Red Queen,Red Queen #1,Victoria Aveyard (Goodreads Author),4.04,383,2015-02-10,565018,None
The Lord of the Rings,The Lord of the Rings #1-3,J.R.R. Tolkien,4.50,1216,2005-10-12,564734,Blank of Blank
Digital Fortress,N/A,Dan Brown (Goodreads Author),3.66,510,2004-10-28,561187,None
Uglies,Uglies #1,Scott Westerfeld (Goodreads Author),3.86,425,2005-02-08,560175,One Word
A Dance with Dragons,A Song of Ice and Fire #5,George R.R. Martin,4.32,1125,2011-07-12,555900,None
Vampire Academy,Vampire Academy #1,Richelle Mead (Goodreads Author),4.12,332,2007-08-16,548959,None
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",N/A,"Terry Pratchett, Neil Gaiman (Goodreads Author)",4.24,491,2006-11-28,543224,Blank of Blank
Beautiful Creatures,Beautiful Creatures #1,"Kami Garcia (Goodreads Author), Margaret Stohl (Goodreads Author)",3.76,563,2009-12-01,539336,None
Carrie,N/A,Stephen King (Goodreads Author),3.96,253,2005-11-01,520467,One Word
The Chronicles of Narnia,The Chronicles of Narnia (Publication Order) #1–7,"C.S. Lewis, Pauline Baynes (Illustrator)",4.26,767,2002-09-16,517740,Blank of Blank
The Gunslinger,The Dark Tower #1,Stephen King (Goodreads Author),3.95,231,2003-07-28,514829,The One Word
Artemis Fowl,Artemis Fowl #1,Eoin Colfer,3.85,396,2003-04-01,495987,None
Dead Until Dark,Sookie Stackhouse #1,Charlaine Harris (Goodreads Author),3.96,292,2001-05-01,495821,None
Fallen,Fallen #1,Lauren Kate (Goodreads Author),3.73,452,2009-12-08,494093,One Word
Watchmen,Watchmen #1-12,"Alan Moore (Goodreads Author), Dave Gibbons (Illustrator/Letterer), John Higgins (Colorist)",4.36,416,2005-10-28,487212,One Word
Interview with the Vampire,The Vampire Chronicles #1,Anne Rice,4.00,342,2004-08-31,484530,None
Coraline,N/A,"Neil Gaiman (Goodreads Author), Dave McKean (illustrator)",4.06,162,2006-08-29,481547,One Word
City of Fallen Angels,The Mortal Instruments #4,Cassandra Clare (Goodreads Author),4.12,425,2011-04-05,480909,Blank of Blank
The Ocean at the End of the Lane,N/A,Neil Gaiman (Goodreads Author),4.00,181,2013-06-18,480713,Blank of Blank
Flowers for Algernon,N/A,Daniel Keyes,4.14,216,2001-02-29,478318,None
A Court of Thorns and Roses,A Court of Thorns and Roses #1,Sarah J. Maas (Goodreads Author),4.22,419,2015-05-05,476270,Blank of Blank
Never Let Me Go,N/A,Kazuo Ishiguro,3.82,288,2010-08-31,471423,None
The Shadow of the Wind,El cementerio de los libros olvidados #1,"Carlos Ruiz Zafón, Lucia Graves (Translator)",4.27,487,2005-10-28,462182,Blank of Blank
Alice's Adventures in Wonderland & Through the Looking-Glass,Alice's Adventures in Wonderland #1-2,"Lewis Carroll, John Tenniel (Illustrator), Martin Gardner (Introduction)",4.06,239,2000-12-01,458299,None
The Scorch Trials,The Maze Runner #2,James Dashner (Goodreads Author),3.91,362,2010-10-12,446032,The Adjective Noun
Bridge to Terabithia,N/A,Katherine Paterson,4.01,190,2009-10-06,445082,None
A Midsummer Night's Dream,N/A,"William Shakespeare, Paul Werstine (Editor), Barbara A. Mowat (Editor), Catherine Belsey (Contributor)",3.95,240,2016-07-28,442719,None
Clockwork Prince,The Infernal Devices #2,Cassandra Clare (Goodreads Author),4.44,498,2011-12-06,441712,None
The Mark of Athena,The Heroes of Olympus #3,Rick Riordan (Goodreads Author),4.45,586,2012-10-02,440607,Blank of Blank
World War Z: An Oral History of the Zombie War,World War Z,Max Brooks (Goodreads Author),4.01,342,2006-09-12,439825,Blank of Blank
The Graveyard Book,N/A,"Neil Gaiman (Goodreads Author), Dave McKean (Illustrator)",4.13,307,2008-09-30,437701,The Adjective Noun
Watership Down,Watership Down #1,Richard Adams,4.06,478,1975-06-28,433754,None
Shiver,The Wolves of Mercy Falls #1,Maggie Stiefvater (Goodreads Author),3.77,392,2009-08-01,430888,One Word
Marked,House of Night #1,"P.C. Cast (Goodreads Author), Kristin Cast (Goodreads Author)",3.80,306,2007-05-01,430068,One Word
Neverwhere,"London Below, The World of Neverwhere #1",Neil Gaiman (Goodreads Author),4.17,370,2003-09-02,429671,One Word
The Cat in the Hat,The Cat in the Hat #1,Dr. Seuss,4.17,61,1985-10-28,427837,None
The Wise Man's Fear,The Kingkiller Chronicle #2,Patrick Rothfuss (Goodreads Author),4.56,994,2011-03-01,427730,None
The Elite,The Selection #2,Kiera Cass (Goodreads Author),4.02,336,2013-04-23,425506,The One Word
Pet Sematary,N/A,Stephen King (Goodreads Author),4.00,580,2014-05-13,424838,None
City of Lost Souls,The Mortal Instruments #5,Cassandra Clare (Goodreads Author),4.27,546,2012-05-08,423962,Blank of Blank
11/22/63,N/A,Stephen King (Goodreads Author),4.31,849,2011-11-08,420225,One Word
Delirium,Delirium #1,Lauren Oliver (Goodreads Author),3.97,441,2012-02-07,416677,One Word
The Son of Neptune,The Heroes of Olympus #2,Rick Riordan (Goodreads Author),4.43,513,2011-10-04,412823,Blank of Blank
The Time Machine,N/A,"H.G. Wells, Greg Bear (Introduction), Carlo Pagetti (Foreword)",3.89,118,2002-10-01,412817,The Adjective Noun
Legend,Legend #1,Marie Lu (Goodreads Author),4.17,305,2011-11-29,411041,One Word
The Magician's Nephew,The Chronicles of Narnia (Chronological Order) #1,C.S. Lewis,4.04,221,2005-05-04,410571,The Adjective Noun
Foundation,Foundation (Publication Order) #1,Isaac Asimov,4.17,244,2004-06-01,409745,One Word
The Tales of Beedle the Bard,Hogwarts Library,J.K. Rowling,4.06,109,2008-12-04,406565,Blank of Blank
Treasure Island,N/A,"Robert Louis Stevenson, David W. Whitehead (Introduction), Richard S. Hartmetz (Goodreads Author) (Editor)",3.83,311,2001-09-15,402027,None
The Final Empire,Mistborn #1,Brandon Sanderson (Goodreads Author),4.45,544,2006-07-25,401784,The Adjective Noun
The Bad Beginning,A Series of Unfortunate Events #1,"Lemony Snicket (Goodreads Author), Brett Helquist (Illustrator)",3.95,176,1999-09-30,397774,The Adjective Noun
The Voyage of the Dawn Treader,The Chronicles of Narnia (Publication Order) #3,"C.S. Lewis, Pauline Baynes (Illustrator)",4.09,248,2006-09-01,394867,Blank of Blank
The Eye of the World,The Wheel of Time #1,Robert Jordan,4.17,814,1990-11-15,391753,Blank of Blank
The 5th Wave,The 5th Wave #1,Rick Yancey,4.04,457,2013-05-07,388363,The Adjective Noun
Ella Enchanted,Ella Enchanted #1,Gail Carson Levine (Goodreads Author),3.98,232,1998-09-01,386881,None
Graceling,Graceling Realm #1,Kristin Cashore,4.08,471,2008-10-01,384727,One Word
The Strange Case of Dr. Jekyll and Mr. Hyde,N/A,"Robert Louis Stevenson, Vladimir Nabokov (Introduction), Mervyn Peake (Illustrator), Théo Varlet (Translation), Patrick Horgan (Narrator), Dan Chaon (Goodreads Author) (Afterword)",3.82,144,2003-09-02,384495,Blank of Blank
The One,The Selection #3,Kiera Cass (Goodreads Author),4.20,323,2014-05-06,380344,The One Word
James and the Giant Peach,N/A,"Roald Dahl, Quentin Blake (Illustrator)",4.02,146,2002-09-10,378763,Blank and Blank
Alice in Wonderland,N/A,"Jane Carruth (Adapted By), Lewis Carroll (Original Story By), Rene Cloke (Illustrator)",4.02,92,2004-09-07,376781,None
The BFG,N/A,"Roald Dahl, Quentin Blake (Illustrator)",4.22,199,2001-10-28,373279,The One Word
The Wonderful Wizard of Oz,Oz #1,"L. Frank Baum, W.W. Denslow (Illustrator)",3.98,154,1995-10-28,369625,Blank of Blank
Inkheart,Inkworld #1,"Cornelia Funke (Goodreads Author), Anthea Bell (Translator)",3.88,563,2005-05-01,369454,One Word
A Discovery of Witches,All Souls Trilogy #1,Deborah Harkness (Goodreads Author),4.00,579,2011-02-28,369030,Blank of Blank
Twilight: The Complete Illustrated Movie Companion,The Twilight Saga: The Official Illustrated Movie Companion #1,Mark Cotta Vaz,4.21,144,2008-10-28,368664,None
The Subtle Knife,His Dark Materials #2,Philip Pullman,4.13,370,2018-09-28,366084,The Adjective Noun
Stardust,N/A,Neil Gaiman (Goodreads Author),4.08,248,2006-08-29,358640,One Word
Eldest,The Inheritance Cycle #2,Christopher Paolini (Goodreads Author),3.99,704,2007-03-13,355083,One Word
Atlas Shrugged,N/A,"Ayn Rand, Leonard Peikoff (Goodreads Author) (Introduction)",3.69,1168,1999-08-01,353814,None
The Iliad,N/A,"Homer, Robert Fagles (Translator), Bernard Knox (Introduction)",3.87,683,1999-04-29,352181,The One Word
"The Hobbit, Part One",The Hobbit #1 of 2,"J.R.R. Tolkien, David Wyatt (Illustrator)",4.28,230,2012-08-30,350662,None
Prince Caspian,The Chronicles of Narnia (Publication Order) #2,C.S. Lewis,3.97,240,2005-06-20,348465,None
Do Androids Dream of Electric Sheep?,Blade Runner #1,Philip K. Dick,4.08,258,2008-02-26,345534,Blank of Blank
Circe,N/A,Madeline Miller (Goodreads Author),4.26,393,2018-04-10,343022,One Word
Cat's Cradle,N/A,Kurt Vonnegut Jr.,4.16,179,1999-10-28,338863,None
Crown of Midnight,Throne of Glass #2,Sarah J. Maas (Goodreads Author),4.42,420,2013-08-27,338827,Blank of Blank
The Death Cure,The Maze Runner #3,James Dashner (Goodreads Author),3.77,325,2011-10-11,337553,The Adjective Noun
Clockwork Princess,The Infernal Devices #3,Cassandra Clare (Goodreads Author),4.57,567,2013-09-05,337166,None
Salem's Lot,N/A,Stephen King (Goodreads Author),4.03,483,1991-10-28,334051,None
A Court of Mist and Fury,A Court of Thorns and Roses #2,Sarah J. Maas (Goodreads Author),4.62,626,2016-05-03,332646,Blank of Blank
The Screwtape Letters,N/A,C.S. Lewis,4.22,228,2001-02-29,331949,The Adjective Noun
How the Grinch Stole Christmas!,N/A,Dr. Seuss,4.36,64,2004-10-04,330214,None
Fantastic Beasts and Where to Find Them,Hogwarts Library,"Newt Scamander (Pseudonym), J.K. Rowling",3.98,128,2001-06-01,330094,Blank and Blank
"Oh, the Places You'll Go!",N/A,Dr. Seuss,4.35,44,1990-01-22,328451,None
Shadow Kiss,Vampire Academy #3,Richelle Mead (Goodreads Author),4.35,443,2008-11-13,325339,None
Like Water for Chocolate,Como agua para chocolate #1,"Laura Esquivel, Thomas Christensen (Goodreads Author) (Translator), Carol Christensen (Translator)",3.95,222,1993-09-16,324463,None
Station Eleven,N/A,Emily St. John Mandel (Goodreads Author),4.05,333,2014-09-09,322145,None
The Red Pyramid,The Kane Chronicles #1,Rick Riordan (Goodreads Author),4.08,516,2010-05-04,318529,The Adjective Noun
The Color of Magic,Discworld #1,Terry Pratchett,3.99,228,2005-09-13,316186,Blank of Blank
Six of Crows,The Six of Crows Trilogy #1,Leigh Bardugo (Goodreads Author),4.43,465,2015-09-29,315707,Blank of Blank
The Witches,N/A,"Roald Dahl, Quentin Blake (Illustrator)",4.17,208,1997-10-28,313894,The One Word
I Am Number Four,Lorien Legacies #1,Pittacus Lore,3.94,440,2010-08-03,312327,None
Scarlet,The Lunar Chronicles #2,Marissa Meyer (Goodreads Author),4.27,454,2013-02-05,311788,One Word
Daughter of Smoke & Bone,Daughter of Smoke & Bone #1,Laini Taylor (Goodreads Author),4.01,418,2011-09-27,310751,Blank of Blank
Frostbite,Vampire Academy #2,Richelle Mead (Goodreads Author),4.27,327,2008-04-10,309408,One Word
Shadow and Bone,The Shadow and Bone Trilogy #1,Leigh Bardugo (Goodreads Author),4.00,358,2012-06-05,306949,Blank and Blank
Kafka on the Shore,海辺のカフカ,"Haruki Murakami, Philip Gabriel (Translator)",4.13,467,2006-01-03,305688,None
The Way of Kings,The Stormlight Archive #1,Brandon Sanderson (Goodreads Author),4.63,1137,2010-08-31,304529,Blank of Blank
The Way of Kings,The Stormlight Archive #1,Brandon Sanderson (Goodreads Author),4.63,1258,2011-05-24,303454,Blank of Blank
The Way of Kings,The Stormlight Archive #1,Brandon Sanderson (Goodreads Author),4.63,1007,2010-08-31,302877,Blank of Blank
Brisingr,The Inheritance Cycle #3,Christopher Paolini (Goodreads Author),4.05,748,2008-09-20,299095,One Word
The Amber Spyglass,His Dark Materials #3,Philip Pullman,4.09,467,2003-09-09,298240,The Adjective Noun
Before I Fall,N/A,Lauren Oliver (Goodreads Author),3.90,470,2010-10-25,294697,None
Storm Front,The Dresden Files #1,Jim Butcher (Goodreads Author),3.99,384,2000-04-01,293884,None
Shatter Me,Shatter Me #1,Tahereh Mafi,3.95,338,2011-11-15,290772,None
Dark Lover,Black Dagger Brotherhood #1,J.R. Ward (Goodreads Author),4.19,393,2005-09-06,289077,None
City of Heavenly Fire,The Mortal Instruments #6,Cassandra Clare (Goodreads Author),4.44,725,2014-05-27,288767,Blank of Blank
Dragonfly in Amber,Outlander #2,Diana Gabaldon (Goodreads Author),4.32,963,2001-08-07,287189,None
The Ultimate Hitchhiker's Guide to the Galaxy,The Hitchhiker's Guide to the Galaxy #0.5-5,Douglas Adams,4.36,815,2002-04-28,287030,None
The Well of Ascension,Mistborn #2,Brandon Sanderson (Goodreads Author),4.36,590,2007-08-21,285419,Blank of Blank
The Lorax,N/A,Dr. Seuss,4.34,72,1998-02-24,283383,The One Word
Heir of Fire,Throne of Glass #3,Sarah J. Maas (Goodreads Author),4.48,565,2014-09-02,279699,Blank of Blank
Peter Pan,N/A,"J.M. Barrie, Michael Hague (Illustrator)",4.05,176,2003-10-01,276928,None
Blood Promise,Vampire Academy #4,Richelle Mead (Goodreads Author),4.32,503,2009-08-25,276134,None
"I, Robot",Robot #0.1,Isaac Asimov,4.20,224,2004-06-28,275620,None
Stranger in a Strange Land,N/A,Robert A. Heinlein,3.92,525,1991-10-01,275412,None
Cress,The Lunar Chronicles #3,Marissa Meyer (Goodreads Author),4.43,552,2014-02-04,274670,One Word
Crescendo,"Hush, Hush #2",Becca Fitzpatrick (Goodreads Author),4.04,432,2010-10-19,274616,One Word
The Thirteenth Tale,N/A,Diane Setterfield (Goodreads Author),3.97,406,2006-09-12,272208,The Adjective Noun
Winnie-the-Pooh,Winnie-the-Pooh #1,"A.A. Milne, Ernest H. Shepard (Illustrator)",4.34,145,2001-10-01,270388,One Word
The Raven Boys,The Raven Cycle #1,Maggie Stiefvater (Goodreads Author),4.05,409,2012-09-18,269946,The Adjective Noun
The Twilight Saga Breaking Dawn Part 1: The Official Illustrated Movie Companion,The Twilight Saga: The Official Illustrated Movie Companion #4,Mark Cotta Vaz,4.28,144,2011-12-13,269043,Blank of Blank
The Hero of Ages,Mistborn #3,Brandon Sanderson (Goodreads Author),4.48,572,2008-10-14,265610,Blank of Blank
V for Vendetta,V for Vendetta #1-10,"Alan Moore (Goodreads Author), David Lloyd (Illustrator)",4.25,296,2005-11-01,264288,None
Evermore,The Immortals #1,Alyson Noel (Goodreads Author),3.59,301,2009-02-03,262776,One Word
Neuromancer,Sprawl #1,William Gibson,3.90,292,2000-07-01,262256,One Word
The House of Hades,The Heroes of Olympus #4,Rick Riordan (Goodreads Author),4.54,597,2013-10-08,262082,Blank of Blank
Spirit Bound,Vampire Academy #5,Richelle Mead (Goodreads Author),4.35,489,2010-05-18,260072,None
Dark Matter,N/A,Blake Crouch (Goodreads Author),4.09,342,2016-07-26,259579,None
2001: A Space Odyssey,Space Odyssey #1,Arthur C. Clarke,4.15,297,2000-09-01,259477,None
Under the Dome,N/A,Stephen King (Goodreads Author),3.91,1074,2009-11-10,257226,None
Voyager,Outlander #3,Diana Gabaldon (Goodreads Author),4.37,870,2001-08-07,257178,One Word
Last Sacrifice,Vampire Academy #6,Richelle Mead (Goodreads Author),4.39,594,2010-12-07,254915,None
A Court of Wings and Ruin,A Court of Thorns and Roses #3,Sarah J. Maas (Goodreads Author),4.44,699,2017-05-02,253163,Blank of Blank
Harry Potter Series Box Set,Harry Potter #1-7,J.K. Rowling,4.73,4100,2007-10-01,251756,None
"Saga, Vol. 1",Saga (Collected Editions) #1,"Brian K. Vaughan (Goodreads Author) (Writer), Fiona Staples (Artist)",4.18,176,2012-10-23,251742,None
If You Give a Mouse a Cookie,If You Give...,"Laura Joffe Numeroff (Goodreads Author), Felicia Bond (Illustrator)",4.26,40,2015-10-06,250916,None
Odd Thomas,Odd Thomas #1,Dean Koontz (Goodreads Author),3.97,446,2006-08-29,249532,None
The Green Mile,The Green Mile #1-6,Stephen King (Goodreads Author),4.45,592,1996-09-01,248800,The Adjective Noun
Red Rising,Red Rising Saga #1,Pierce Brown (Goodreads Author),4.25,382,2014-01-28,247838,None
The City of Ember,Book of Ember #1,Jeanne DuPrau,3.86,288,1905-06-25,246452,Blank of Blank
