court,___ of ___
of,___ of ___
mist,___ of ___
and,___ of ___
fury,___ of ___
mockingjay,One Word
the,The Adj Noun
magician's,The Adj Noun
nephew,The Adj Noun
stardust,One Word
the,"""The"" One Word"
gunslinger,"""The"" One Word"
do,___ of ___
androids,___ of ___
dream,___ of ___
of,___ of ___
electric,___ of ___
sheep?,___ of ___
allegiant,One Word
the,___ of ___
lord,___ of ___
of,___ of ___
the,___ of ___
rings,___ of ___
the,___ of ___
mark,___ of ___
of,___ of ___
athena,___ of ___
the,___ of ___
way,___ of ___
of,___ of ___
kings,___ of ___
legend,One Word
gulliver's,None
travels,None
v,None
for,None
vendetta,None
the,"""The"" One Word"
witches,"""The"" One Word"
the,The Adj Noun
graveyard,The Adj Noun
book,The Adj Noun
beowulf,One Word
tuck,None
everlasting,None
the,The Adj Noun
final,The Adj Noun
empire,The Adj Noun
beautiful,None
creatures,None
eldest,One Word
dark,None
lover,None
the,___ of ___
eye,___ of ___
of,___ of ___
the,___ of ___
world,___ of ___
the,___ and ___
tell-tale,___ and ___
heart,___ and ___
and,___ and ___
other,___ and ___
writings,___ and ___
brisingr,One Word
midnight's,None
children,None
obsidian,One Word
salem's,None
lot,None
the,The Adj Noun
martian,The Adj Noun
chronicles,The Adj Noun
crescendo,One Word
cloud,None
atlas,None
the,"""The"" One Word"
martian,"""The"" One Word"
shatter,None
me,None
the,The Adj Noun
amber,The Adj Noun
spyglass,The Adj Noun
inferno,One Word
like,None
water,None
for,None
chocolate,None
dragonfly,None
in,None
amber,None
the,"""The"" One Word"
bfg,"""The"" One Word"
six,___ of ___
of,___ of ___
crows,___ of ___
harry,None
potter,None
series,None
box,None
set,None
daughter,___ of ___
of,___ of ___
smoke,___ of ___
&,___ of ___
bone,___ of ___
the,___ of ___
strange,___ of ___
case,___ of ___
of,___ of ___
dr.,___ of ___
jekyll,___ of ___
and,___ of ___
mr.,___ of ___
hyde,___ of ___
city,___ of ___
of,___ of ___
heavenly,___ of ___
fire,___ of ___
evermore,One Word
the,The Adj Noun
subtle,The Adj Noun
knife,The Adj Noun
11/22/63,One Word
"faust,",None
first,None
part,None
a,None
feast,None
for,None
crows,None
the,The Adj Noun
angel,The Adj Noun
experiment,The Adj Noun
miss,None
peregrine's,None
home,None
for,None
peculiar,None
children,None
matched,One Word
jonathan,___ and ___
strange,___ and ___
&,___ and ___
mr,___ and ___
norrell,___ and ___
houdini,None
heart,None
artemis,None
fowl,None
pippi,None
longstocking,None
the,___ of ___
tales,___ of ___
of,___ of ___
beedle,___ of ___
the,___ of ___
bard,___ of ___
the,___ of ___
house,___ of ___
of,___ of ___
hades,___ of ___
the,"""The"" One Word"
host,"""The"" One Word"
neuromancer,One Word
betrayed,One Word
the,___ of ___
voyage,___ of ___
of,___ of ___
the,___ of ___
dawn,___ of ___
treader,___ of ___
lover,None
awakened,None
a,___ of ___
court,___ of ___
of,___ of ___
thorns,___ of ___
and,___ of ___
roses,___ of ___
untamed,One Word
a,None
dance,None
with,None
dragons,None
crown,___ of ___
of,___ of ___
midnight,___ of ___
"i,",None
robot,None
the,The Adj Noun
twilight,The Adj Noun
collection,The Adj Noun
the,"""The"" One Word"
one,"""The"" One Word"
carrie,One Word
voyager,One Word
heir,___ of ___
of,___ of ___
fire,___ of ___
chosen,One Word
the,The Adj Noun
last,The Adj Noun
battle,The Adj Noun
the,"""The"" One Word"
exorcist,"""The"" One Word"
coraline,One Word
the,The Adj Noun
5th,The Adj Noun
wave,The Adj Noun
the,The Adj Noun
iron,The Adj Noun
king,The Adj Noun
the,The Adj Noun
arabian,The Adj Noun
nights,The Adj Noun
torment,One Word
bloodlines,One Word
wizard's,None
first,None
rule,None
pet,None
sematary,None
snow,None
crash,None
world,___ of ___
war,___ of ___
z:,___ of ___
an,___ of ___
oral,___ of ___
history,___ of ___
of,___ of ___
the,___ of ___
zombie,___ of ___
war,___ of ___
a,___ and ___
great,___ and ___
and,___ and ___
terrible,___ and ___
beauty,___ and ___
the,The Adj Noun
witching,The Adj Noun
hour,The Adj Noun
the,___ of ___
war,___ of ___
of,___ of ___
the,___ of ___
worlds,___ of ___
the,"""The"" One Word"
summoning,"""The"" One Word"
chocolat,One Word
halfway,None
to,None
the,None
grave,None
red,None
queen,None
city,___ of ___
of,___ of ___
glass,___ of ___
the,___ of ___
mortal,___ of ___
instruments,___ of ___
boxed,___ of ___
set:,___ of ___
city,___ of ___
of,___ of ___
bones;,___ of ___
city,___ of ___
of,___ of ___
ashes;,___ of ___
city,___ of ___
of,___ of ___
glass,___ of ___
2001:,None
a,None
space,None
odyssey,None
a,___ of ___
discovery,___ of ___
of,___ of ___
witches,___ of ___
unwind,One Word
the,The Adj Noun
polar,The Adj Noun
express,The Adj Noun
acheron,One Word
the,"""The"" One Word"
elite,"""The"" One Word"
silence,One Word
ishmael,One Word
the,___ of ___
unbecoming,___ of ___
of,___ of ___
mara,___ of ___
dyer,___ of ___
the,___ of ___
return,___ of ___
of,___ of ___
the,___ of ___
king,___ of ___
i,None
am,None
number,None
four,None
angelfall,One Word
dead,None
to,None
the,None
world,None
you,None
are,None
special,None
sabriel,One Word
the,The Adj Noun
goose,The Adj Noun
girl,The Adj Noun
ignite,None
me,None
the,The Adj Noun
darkest,The Adj Noun
minds,The Adj Noun
drums,___ of ___
of,___ of ___
autumn,___ of ___
wicked,None
lovely,None
queen,___ of ___
of,___ of ___
shadows,___ of ___
hunted,One Word
world,None
without,None
end,None
a,None
christmas,None
carol,None
the,The Adj Noun
last,The Adj Noun
unicorn,The Adj Noun
hyperion,One Word
the,The Adj Noun
raven,The Adj Noun
boys,The Adj Noun
the,The Adj Noun
bad,The Adj Noun
beginning,The Adj Noun
speaker,None
for,None
the,None
dead,None
the,The Adj Noun
red,The Adj Noun
pyramid,The Adj Noun
a,None
dog's,None
purpose,None
the,The Adj Noun
silver,The Adj Noun
chair,The Adj Noun
a,None
monster,None
calls,None
poison,None
study,None
the,The Adj Noun
two,The Adj Noun
towers,The Adj Noun
the,___ of ___
queen,___ of ___
of,___ of ___
the,___ of ___
damned,___ of ___
left,None
behind,None
the,The Adj Noun
eyre,The Adj Noun
affair,The Adj Noun
inheritance,One Word
before,None
i,None
fall,None
the,"""The"" One Word"
talisman,"""The"" One Word"
prince,None
caspian,None
the,___ of ___
knife,___ of ___
of,___ of ___
never,___ of ___
letting,___ of ___
go,___ of ___
shadowfever,One Word
gone,One Word
the,The Adj Noun
scorch,The Adj Noun
trials,The Adj Noun
darkfever,One Word
pretties,One Word
words,___ of ___
of,___ of ___
radiance,___ of ___
i,___ and ___
am,___ and ___
legend,___ and ___
and,___ and ___
other,___ and ___
stories,___ and ___
scarlet,One Word
alanna:,None
the,None
first,None
adventure,None
watchers,One Word
a,___ of ___
wizard,___ of ___
of,___ of ___
earthsea,___ of ___
the,___ of ___
song,___ of ___
of,___ of ___
achilles,___ of ___
lover,None
unbound,None
champion,One Word
the,___ of ___
left,___ of ___
hand,___ of ___
of,___ of ___
darkness,___ of ___
assassin's,None
apprentice,None
1q84,One Word
the,None
night,None
before,None
christmas,None
the,"""The"" One Word"
magus,"""The"" One Word"
oryx,___ and ___
and,___ and ___
crake,___ and ___
tempted,One Word
cress,One Word
a,___ of ___
breath,___ of ___
of,___ of ___
snow,___ of ___
and,___ of ___
ashes,___ of ___
night,None
watch,None
brainwalker,One Word
the,___ of ___
lies,___ of ___
of,___ of ___
locke,___ of ___
lamora,___ of ___
jitterbug,None
perfume,None
the,The Adj Noun
fiery,The Adj Noun
cross,The Adj Noun
the,___ of ___
sirens,___ of ___
of,___ of ___
titan,___ of ___
grimm's,None
fairy,None
tales,None
crooked,None
kingdom,None
prodigy,One Word
city,___ of ___
of,___ of ___
ashes,___ of ___
glass,None
houses,None
twenty,None
thousand,None
leagues,None
under,None
the,None
sea,None
lover,None
revealed,None
odd,None
thomas,None
club,None
dead,None
carry,None
on,None
princess,None
academy,None
ender's,None
shadow,None
the,"""The"" One Word"
aeneid,"""The"" One Word"
unravel,None
me,None
lover,None
avenged,None
under,None
the,None
dome,None
living,None
dead,None
in,None
dallas,None
a,None
canticle,None
for,None
leibowitz,None
the,The Adj Noun
jungle,The Adj Noun
books,The Adj Noun
collected,None
fictions,None
something,None
wicked,None
this,None
way,None
comes,None
linger,One Word
geek,None
love,None
cryptonomicon,One Word
hard-boiled,___ of ___
wonderland,___ of ___
and,___ of ___
the,___ of ___
end,___ of ___
of,___ of ___
the,___ of ___
world,___ of ___
red,None
rising,None
empire,___ of ___
of,___ of ___
storms,___ of ___
the,The Adj Noun
death,The Adj Noun
cure,The Adj Noun
ficciones,One Word
fire,One Word
the,___ of ___
color,___ of ___
of,___ of ___
magic,___ of ___
the,___ of ___
hero,___ of ___
of,___ of ___
ages,___ of ___
the,None
moon,None
is,None
a,None
harsh,None
mistress,None
battle,None
royale,None
dandelion,None
wine,None
mary,None
poppins,None
finale,One Word
the,"""The"" One Word"
awakening,"""The"" One Word"
the,___ of ___
invention,___ of ___
of,___ of ___
hugo,___ of ___
cabret,___ of ___
the,___ of ___
ocean,___ of ___
at,___ of ___
the,___ of ___
end,___ of ___
of,___ of ___
the,___ of ___
lane,___ of ___
small,None
gods,None
the,"""The"" One Word"
passage,"""The"" One Word"
the,"""The"" One Word"
reckoning,"""The"" One Word"
starship,None
troopers,None
the,___ of ___
restaurant,___ of ___
at,___ of ___
the,___ of ___
end,___ of ___
of,___ of ___
the,___ of ___
universe,___ of ___
the,"""The"" One Word"
gargoyle,"""The"" One Word"
the,"""The"" One Word"
sparrow,"""The"" One Word"
dreamfever,One Word
around,None
the,None
world,None
in,None
eighty,None
days,None
daughter,___ of ___
of,___ of ___
the,___ of ___
forest,___ of ___
illusions:,___ of ___
the,___ of ___
adventures,___ of ___
of,___ of ___
a,___ of ___
reluctant,___ of ___
messiah,___ of ___
specials,One Word
mort,One Word
the,The Adj Noun
golden,The Adj Noun
lily,The Adj Noun
one,None
foot,None
in,None
the,None
grave,None
the,The Adj Noun
dark,The Adj Noun
tower,The Adj Noun
the,___ of ___
blood,___ of ___
of,___ of ___
olympus,___ of ___
lover,None
mine,None
burned,One Word
guilty,None
pleasures,None
the,___ of ___
city,___ of ___
of,___ of ___
ember,___ of ___
dead,None
as,None
a,None
doornail,None
the,___ of ___
amulet,___ of ___
of,___ of ___
samarkand,___ of ___
house,___ of ___
of,___ of ___
leaves,___ of ___
shadow,___ and ___
and,___ and ___
bone,___ and ___
orlando,One Word
a,None
connecticut,None
yankee,None
in,None
king,None
arthur's,None
court,None
pandemonium,One Word
beauty:,___ of ___
a,___ of ___
retelling,___ of ___
of,___ of ___
the,___ of ___
story,___ of ___
of,___ of ___
beauty,___ of ___
and,___ of ___
the,___ of ___
beast,___ of ___
night,None
"world,",None
no.,None
1,None
the,The Adj Noun
long,The Adj Noun
walk,The Adj Noun
fablehaven,One Word
we,One Word
the,None
awakening,None
/,None
the,None
struggle,None
faefever,One Word
onyx,One Word
fantasy,None
lover,None
passion,One Word
a,___ of ___
court,___ of ___
of,___ of ___
wings,___ of ___
and,___ of ___
ruin,___ of ___
bitten,One Word
from,None
dead,None
to,None
worse,None
wizard,___ and ___
and,___ and ___
glass,___ and ___
wings,One Word
all,None
together,None
dead,None
the,___ of ___
rime,___ of ___
of,___ of ___
the,___ of ___
ancient,___ of ___
mariner,___ of ___
the,___ of ___
drawing,___ of ___
of,___ of ___
the,___ of ___
three,___ of ___
dead,___ and ___
and,___ and ___
gone,___ and ___
every,None
day,None
childhood's,None
end,None
tiger's,None
curse,None
redwall,One Word
the,"""The"" One Word"
iliad,"""The"" One Word"
into,None
the,None
wild,None
the,___ of ___
ruins,___ of ___
of,___ of ___
gorlan,___ of ___
hex,None
hall,None
unearthly,One Word
the,___ of ___
well,___ of ___
of,___ of ___
ascension,___ of ___
dead,None
witch,None
walking,None
beastly,One Word
at,None
grave's,None
end,None
the,None
man,None
in,None
the,None
high,None
castle,None
the,The Adj Noun
indigo,The Adj Noun
spell,The Adj Noun
blue,None
bloods,None
the,The Adj Noun
assassin's,The Adj Noun
blade,The Adj Noun
an,None
ember,None
in,None
the,None
ashes,None
anansi,None
boys,None
the,"""The"" One Word"
tempest,"""The"" One Word"
the,"""The"" One Word"
dispossessed,"""The"" One Word"
lover,None
enshrined,None
the,The Adj Noun
pilgrim's,The Adj Noun
progress,The Adj Noun
the,The Adj Noun
great,The Adj Noun
divorce,The Adj Noun
the,The Adj Noun
iron,The Adj Noun
queen,The Adj Noun
across,None
the,None
universe,None
hogfather,One Word
let,None
the,None
right,None
one,None
in,None
nightshade,One Word
storm,None
front,None
the,___ of ___
short,___ of ___
second,___ of ___
life,___ of ___
of,___ of ___
bree,___ of ___
tanner,___ of ___
evernight,One Word
magician,One Word
dirk,None
gently's,None
holistic,None
detective,None
agency,None
animal,None
farm,None
/,None
1984,None
the,"""The"" One Word"
past,"""The"" One Word"
cry,None
wolf,None
swan,None
song,None
memnoch,None
the,None
devil,None
the,The Adj Noun
iron,The Adj Noun
daughter,The Adj Noun
the,___ and ___
stinky,___ and ___
cheese,___ and ___
man,___ and ___
and,___ and ___
other,___ and ___
fairly,___ and ___
stupid,___ and ___
tales,___ and ___
the,None
mysterious,None
benedict,None
society,None
the,___ of ___
valley,___ of ___
of,___ of ___
horses,___ of ___
school's,None
out—forever,None
saving,___ and ___
the,___ and ___
world,___ and ___
and,___ and ___
other,___ and ___
extreme,___ and ___
sports,___ and ___
percy,___ and ___
jackson,___ and ___
and,___ and ___
the,___ and ___
olympians,___ and ___
tales,___ of ___
of,___ of ___
h.p.,___ of ___
lovecraft,___ of ___
invisible,None
cities,None
a,___ of ___
darker,___ of ___
shade,___ of ___
of,___ of ___
magic,___ of ___
timeline,One Word
this,None
present,None
darkness,None
"go,",None
dog.,None
go!,None
practical,None
magic,None
blue,None
moon,None
"life,",___ and ___
the,___ and ___
universe,___ and ___
and,___ and ___
everything,___ and ___
for,None
one,None
more,None
day,None
till,None
we,None
have,None
faces,None
bloodfever,One Word
awakened,One Word
a,None
scanner,None
darkly,None
the,___ of ___
way,___ of ___
of,___ of ___
shadows,___ of ___
half-blood,One Word
winter,One Word
a,None
dirty,None
job,None
origin,One Word
switched,One Word
kushiel's,None
dart,None
journey,___ of ___
to,___ of ___
the,___ of ___
center,___ of ___
of,___ of ___
the,___ of ___
earth,___ of ___
inkspell,One Word
lady,None
midnight,None
forever,One Word
starcrossed,One Word
brave,None
new,None
world,None
/,None
brave,None
new,None
world,None
revisited,None
destined,None
for,None
an,None
early,None
grave,None
the,___ of ___
tale,___ of ___
of,___ of ___
despereaux,___ of ___
hearts,None
in,None
atlantis,None
the,None
time,None
quartet,None
box,None
set,None
the,___ of ___
day,___ of ___
of,___ of ___
the,___ of ___
triffids,___ of ___
the,The Adj Noun
dragon,The Adj Noun
reborn,The Adj Noun
the,___ and ___
raven,___ and ___
and,___ and ___
other,___ and ___
poems,___ and ___
the,___ of ___
evolution,___ of ___
of,___ of ___
mara,___ of ___
dyer,___ of ___
the,The Adj Noun
blade,The Adj Noun
itself,The Adj Noun
needful,None
things,None
the,___ of ___
throne,___ of ___
of,___ of ___
fire,___ of ___
batman:,None
the,None
dark,None
knight,None
returns,None
going,None
postal,None
under,None
the,None
never,None
sky,None
the,The Adj Noun
dead,The Adj Noun
zone,The Adj Noun
the,None
glass,None
bead,None
game,None
night,None
"world,",None
no.,None
2,None
the,The Adj Noun
celestine,The Adj Noun
prophecy,The Adj Noun
the,The Adj Noun
gormenghast,The Adj Noun
novels,The Adj Noun
inkdeath,One Word
the,"""The"" One Word"
alchemyst,"""The"" One Word"
halo,One Word
sweet,None
evil,None
eclipse,One Word
breaking,None
dawn,None
the,The Adj Noun
angel's,The Adj Noun
game,The Adj Noun
garden,None
spells,None
the,The Adj Noun
immortal,The Adj Noun
rules,The Adj Noun
magic,None
bites,None
the,None
octunnumi,None
fosbit,None
files,None
prologue,None
max,One Word
beautiful,None
darkness,None
the,The Adj Noun
satanic,The Adj Noun
verses,The Adj Noun
metamorphoses,One Word
just,None
so,None
stories,None
guards!,None
guards!,None
the,"""The"" One Word"
present,"""The"" One Word"
born,None
at,None
midnight,None
elantris,One Word
extras,One Word
perdido,None
street,None
station,None
the,The Adj Noun
blue,The Adj Noun
sword,The Adj Noun
the,None
diamond,None
age:,None
"or,",None
a,None
young,None
lady's,None
illustrated,None
primer,None
the,None
complete,None
fairy,None
tales,None
rapture,One Word
iron,None
kissed,None
illuminae,One Word
an,None
echo,None
in,None
the,None
bone,None
tiger's,None
voyage,None
ink,None
exchange,None
fantastic,___ and ___
beasts,___ and ___
and,___ and ___
where,___ and ___
to,___ and ___
find,___ and ___
them,___ and ___
the,___ of ___
house,___ of ___
of,___ of ___
the,___ of ___
scorpion,___ of ___
the,The Adj Noun
waste,The Adj Noun
lands,The Adj Noun
the,The Adj Noun
thief,The Adj Noun
lord,The Adj Noun
the,The Adj Noun
serpent's,The Adj Noun
shadow,The Adj Noun
if,None
you,None
give,None
a,None
mouse,None
a,None
cookie,None
the,None
fury,None
/,None
dark,None
reunion,None
new,None
moon,None
among,None
the,None
hidden,None
the,The Adj Noun
dream,The Adj Noun
thieves,The Adj Noun
solaris,One Word
river,None
god,None
pawn,___ of ___
of,___ of ___
prophecy,___ of ___
the,The Adj Noun
great,The Adj Noun
hunt,The Adj Noun
imajica,One Word
the,The Adj Noun
warded,The Adj Noun
man,The Adj Noun
the,None
dead,None
girls',None
dance,None
days,___ of ___
of,___ of ___
blood,___ of ___
&,___ of ___
starlight,___ of ___
old,None
man's,None
war,None
lullaby,One Word
vicious,One Word
need,One Word
the,The Adj Noun
crystal,The Adj Noun
cave,The Adj Noun
the,The Adj Noun
scorpio,The Adj Noun
races,The Adj Noun
the,The Adj Noun
cruel,The Adj Noun
prince,The Adj Noun
the,The Adj Noun
forever,The Adj Noun
war,The Adj Noun
life,None
as,None
we,None
knew,None
it,None
aesop's,None
fables,None
the,___ of ___
children,___ of ___
of,___ of ___
húrin,___ of ___
hollow,None
city,None
kissed,___ of ___
by,___ of ___
an,___ of ___
angel/the,___ of ___
power,___ of ___
of,___ of ___
love/soulmates,___ of ___
the,___ of ___
sword,___ of ___
of,___ of ___
shannara,___ of ___
the,The Adj Noun
shadow,The Adj Noun
rising,The Adj Noun
a,___ of ___
storm,___ of ___
of,___ of ___
swords:,___ of ___
blood,___ of ___
and,___ of ___
gold,___ of ___
the,The Adj Noun
iron,The Adj Noun
knight,The Adj Noun
vampire,None
academy,None
collection,None
the,___ of ___
miraculous,___ of ___
journey,___ of ___
of,___ of ___
edward,___ of ___
tulane,___ of ___
reaper,None
man,None
rendezvous,None
with,None
rama,None
the,The Adj Noun
illustrated,The Adj Noun
man,The Adj Noun
the,The Adj Noun
third,The Adj Noun
policeman,The Adj Noun
skulduggery,None
pleasant,None
"eragon,",___ and ___
eldest,___ and ___
&,___ and ___
brisingr,___ and ___
cloudy,___ of ___
with,___ of ___
a,___ of ___
chance,___ of ___
of,___ of ___
meatballs,___ of ___
crossed,One Word
preludes,___ and ___
&,___ and ___
nocturnes,___ and ___
after,None
dark,None
the,The Adj Noun
false,The Adj Noun
prince,The Adj Noun
the,The Adj Noun
invisible,The Adj Noun
man,The Adj Noun
the,___ and ___
